"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:LS(9.0.0)","KWT.U.PT.A","OBS_VALUE","Kuwait","2.16","","","","","","","","",""
"IMF.STA:LS(9.0.0)","DZA.U.PT.A","OBS_VALUE","Algeria","10.202","12","","","","","","","",""
"IMF.STA:LS(9.0.0)","TUN.U.PT.A","OBS_VALUE","Tunisia","15.514","15.37925","15.4585","15.13425","","","15.30175","15.09625","",""
"IMF.STA:LS(9.0.0)","NIC.U.PT.A","OBS_VALUE","Nicaragua","3.9","3.3","5.2","","","","","","",""
"IMF.STA:LS(9.0.0)","NAM.U.PT.A","OBS_VALUE","Namibia","23.352","","19.877","","","","","","",""
"IMF.STA:LS(9.0.0)","SMR.U.PT.A","OBS_VALUE","San Marino, Republic of","6.45","7.89","7.83","7.54","7.23","6.34","4.91","","",""
"IMF.STA:LS(9.0.0)","COD.U.PT.A","OBS_VALUE","Congo, Democratic Republic of the","","","","","1.466","","","","",""
"IMF.STA:LS(9.0.0)","KAZ.U.PT.A","OBS_VALUE","Kazakhstan, Republic of","4.9595","4.904","4.847","4.80375","4.89","","4.86","","",""
"IMF.STA:LS(9.0.0)","QAT.U.PT.A","OBS_VALUE","Qatar","0.16275","0.136","0.108","0.1","0.14","0.14","0.13","","",""
"IMF.STA:LS(9.0.0)","BDI.U.PT.A","OBS_VALUE","Burundi","","","","","1.03","","","","",""
"IMF.STA:LS(9.0.0)","CPV.U.PT.A","OBS_VALUE","Cabo Verde","","12.24","12.17","11.29","","","","","",""
"IMF.STA:LS(9.0.0)","AFG.U.PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","","11.184","","","11.71","5.679","","","",""
"IMF.STA:LS(9.0.0)","TCD.U.PT.A","OBS_VALUE","Chad","","","1.135","","","","","","",""
"IMF.STA:LS(9.0.0)","IRQ.U.PT.A","OBS_VALUE","Iraq","10.82","13.02","","","","16.173","","","",""
"IMF.STA:LS(9.0.0)","MLI.U.PT.A","OBS_VALUE","Mali","1.367","7.414","1.62","","3.528","","","","",""
"IMF.STA:LS(9.0.0)","KIR.U.PT.A","OBS_VALUE","Kiribati","","","","8.557","10.971","","","","",""
"IMF.STA:LS(9.0.0)","MHL.U.PT.A","OBS_VALUE","Marshall Islands, Republic of the","","","","6.342","","9.823","","","",""
"IMF.STA:LS(9.0.0)","PNG.U.PT.A","OBS_VALUE","Papua New Guinea","","","","","","","2.689","","",""
"IMF.STA:LS(9.0.0)","MWI.U.PT.A","OBS_VALUE","Malawi","","3.77","","","0.907","","","","",""
"IMF.STA:LS(9.0.0)","SOM.U.PT.A","OBS_VALUE","Somalia","","","","18.828","","","","","",""
"IMF.STA:LS(9.0.0)","MDG.U.PT.A","OBS_VALUE","Madagascar, Republic of","","","","","","","3.186","","",""
"IMF.STA:LS(9.0.0)","LSO.U.PT.A","OBS_VALUE","Lesotho, Kingdom of","","","","16.876","","","","","",""
"IMF.STA:LS(9.0.0)","TGO.U.PT.A","OBS_VALUE","Togo","","3.744","","2.056","","","","","",""
"IMF.STA:LS(9.0.0)","SDN.U.PT.A","OBS_VALUE","Sudan","","","","","","","7.53","","",""
"IMF.STA:LS(9.0.0)","GUY.U.PT.A","OBS_VALUE","Guyana","","","13.62725","13.16625","","","","","",""
"IMF.STA:LS(9.0.0)","PLW.U.PT.A","OBS_VALUE","Palau, Republic of","","","","","0.765","","","","",""
"IMF.STA:LS(9.0.0)","NER.U.PT.A","OBS_VALUE","Niger","","7.769","","0.544","","","","","",""
"IMF.STA:LS(9.0.0)","MRT.U.PT.A","OBS_VALUE","Mauritania, Islamic Republic of","","10.336","","10.416","","","","","",""
"IMF.STA:LS(9.0.0)","LBN.U.PT.A","OBS_VALUE","Lebanon","","","","11.301","","","","","",""
"IMF.STA:LS(9.0.0)","TLS.U.PT.A","OBS_VALUE","Timor-Leste, Democratic Republic of","4.657","","","","","2.344","1.537","","",""
"IMF.STA:LS(9.0.0)","COM.U.PT.A","OBS_VALUE","Comoros, Union of the","","","","","","4.394","","","",""
"IMF.STA:LS(9.0.0)","DJI.U.PT.A","OBS_VALUE","Djibouti","","26.064","","","","","","","",""
"IMF.STA:LS(9.0.0)","OMN.U.PT.A","OBS_VALUE","Oman","3.266","","1.8","","2.94","1.9","3.3","","",""
"IMF.STA:LS(9.0.0)","MSR.U.PT.A","OBS_VALUE","Montserrat, United Kingdom-British Overseas Territory","","","","","8.332","","","","",""
"IMF.STA:LS(9.0.0)","MDV.U.PT.A","OBS_VALUE","Maldives","5.771","","","4.562","","","","","",""
"IMF.STA:LS(9.0.0)","VUT.U.PT.A","OBS_VALUE","Vanuatu","","","","5.445","4.046","","","","",""
"IMF.STA:LS(9.0.0)","THA.U.PT.A","OBS_VALUE","Thailand","0.9883333333333332","1.178831494919368","1.063333333333334","0.9916666666666665","","","","0.9791666666666665","0.9983333333333332",""
"IMF.STA:LS(9.0.0)","LTU.U.PT.A","OBS_VALUE","Lithuania, Republic of","7.9","7.116666666666668","6.183333333333332","6.283333333333335","8.516666666666668","7.141666666666668","5.949999999999998","6.875","7.133333333333332",""
"IMF.STA:LS(9.0.0)","NOR.U.PT.A","OBS_VALUE","Norway","4.908333333333332","4.366666666666668","3.991666666666665","3.875","4.75","4.458333333333335","3.233333333333332","3.583333333333332","4.025",""
"IMF.STA:LS(9.0.0)","SWE.U.PT.A","OBS_VALUE","Sweden","7.058333333333332","6.783333333333332","6.433333333333335","6.908333333333335","8.483333333333332","8.891666666666668","7.483333333333332","7.666666666666668","8.349999999999998",""
"IMF.STA:LS(9.0.0)","ROU.U.PT.A","OBS_VALUE","Romania","7.2","6.091666666666665","5.25","4.891666666666668","6.075","5.608333333333332","5.625","5.566666666666668","5.433333333333335",""
"IMF.STA:LS(9.0.0)","HUN.U.PT.A","OBS_VALUE","Hungary","4.883333333333335","4.05","3.491666666666668","3.258333333333332","4.125","4.05","3.666666666666668","4.083333333333332","4.391666666666665",""
"IMF.STA:LS(9.0.0)","CAN.U.PT.A","OBS_VALUE","Canada","7.040166666666668","6.429","5.837583333333332","5.69175","9.697749999999998","7.537","5.283416666666668","5.41325","6.347833333333332",""
"IMF.STA:LS(9.0.0)","AUT.U.PT.A","OBS_VALUE","Austria","6.45","5.925","5.208333333333332","4.841666666666665","6.025","6.2","4.758333333333332","5.108333333333335","5.175",""
"IMF.STA:LS(9.0.0)","GRC.U.PT.A","OBS_VALUE","Greece","23.875","21.84166666666667","19.74166666666666","17.88333333333334","17.61666666666666","14.79166666666666","12.45833333333334","11.08333333333334","10.11666666666666",""
"IMF.STA:LS(9.0.0)","POL.U.PT.A","OBS_VALUE","Poland, Republic of","6.283333333333332","4.958333333333332","3.9","3.233333333333335","3.141666666666668","3.383333333333335","2.883333333333332","2.816666666666668","2.9",""
"IMF.STA:LS(9.0.0)","ITA.U.PT.A","OBS_VALUE","Italy","11.75","11.25833333333333","10.6","9.933333333333332","9.3","9.558333333333332","8.075","7.666666666666668","6.516666666666668",""
"IMF.STA:LS(9.0.0)","JPN.U.PT.A","OBS_VALUE","Japan","3.13225","2.8225","2.467416666666666","2.350666666666667","2.809","2.808333333333332","2.614416666666668","2.566666666666668","2.55",""
"IMF.STA:LS(9.0.0)","DNK.U.PT.A","OBS_VALUE","Denmark","5.983333333333332","5.816666666666665","5.15","5.025","5.625000000000002","5.108333333333335","4.475","5.108333333333332","6.191666666666668",""
"IMF.STA:LS(9.0.0)","NLD.U.PT.A","OBS_VALUE","Netherlands, The","7","5.875","4.866666666666665","4.433333333333332","4.85","4.225","3.541666666666668","3.541666666666665","3.666666666666668",""
"IMF.STA:LS(9.0.0)","PRT.U.PT.A","OBS_VALUE","Portugal","11.475","9.241666666666665","7.149999999999998","6.650000000000002","7.108333333333335","6.733333333333335","6.175","6.566666666666668","6.458333333333332",""
