"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","FRA.GGXWDG_NGDP.A","OBS_VALUE","France","Gross debt, General government, Percent of GDP","Annual","Units","98.126","98.722","98.490","98.104","114.907","112.786","111.366","109.623","113.148","116.505"
"IMF.RES:WEO(9.0.0)","DNK.NID_NGDP.A","OBS_VALUE","Denmark","Gross capital formation, Percent of GDP","Annual","Units","21.681","21.957","22.532","21.886","22.763","23.959","24.777","23.645","23.207","22.032"
"IMF.RES:WEO(9.0.0)","DNK.GGXWDG_NGDP.A","OBS_VALUE","Denmark","Gross debt, General government, Percent of GDP","Annual","Units","41.692","40.153","38.539","38.335","46.278","40.713","34.233","33.791","31.453","29.629"
"IMF.RES:WEO(9.0.0)","DEU.GGXWDG_NGDP.A","OBS_VALUE","Germany","Gross debt, General government, Percent of GDP","Annual","Units","68.301","63.988","60.758","58.682","68.037","67.991","64.442","62.382","63.465","64.421"
"IMF.RES:WEO(9.0.0)","SWE.GGXWDG_NGDP.A","OBS_VALUE","Sweden","Gross debt, General government, Percent of GDP","Annual","Units","42.883","41.629","39.930","35.780","40.204","37.005","33.911","31.814","32.989","34.163"
"IMF.RES:WEO(9.0.0)","NOR.GGXWDG_NGDP.A","OBS_VALUE","Norway","Gross debt, General government, Percent of GDP","Annual","Units","37.874","38.192","39.349","40.485","46.026","41.573","36.057","44.130","42.719","42.720"
"IMF.RES:WEO(9.0.0)","ITA.NGDPDPC.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","31357.601","32797.298","35042.793","33767.024","31956.874","36812.907","35672.007","39074.224","40224.012","43161.196"
"IMF.RES:WEO(9.0.0)","ITA.GGXWDG_NGDP.A","OBS_VALUE","Italy","Gross debt, General government, Percent of GDP","Annual","Units","134.240","133.741","134.198","133.898","154.379","145.812","138.345","134.637","135.326","136.837"
"IMF.RES:WEO(9.0.0)","ITA.NID_NGDP.A","OBS_VALUE","Italy","Gross capital formation, Percent of GDP","Annual","Units","17.712","18.169","18.661","18.364","17.899","22.001","24.598","22.927","22.353","22.745"
"IMF.RES:WEO(9.0.0)","LUX.GGXWDG_NGDP.A","OBS_VALUE","Luxembourg","Gross debt, General government, Percent of GDP","Annual","Units","19.598","21.802","20.870","22.339","24.533","24.185","24.902","24.682","26.288","27.121"
