"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","COL.NID_NGDP.A","OBS_VALUE","Colombia","Gross capital formation, Percent of GDP","Annual","Units","23.167","21.599","21.195","21.381","19.128","18.917","19.787","16.440","16.822","17.063"
"IMF.RES:WEO(9.0.0)","CHL.NID_NGDP.A","OBS_VALUE","Chile","Gross capital formation, Percent of GDP","Annual","Units","23.709","22.637","24.203","24.939","21.058","24.106","25.798","23.362","23.240","24.020"
"IMF.RES:WEO(9.0.0)","CHL.GGXWDG_NGDP.A","OBS_VALUE","Chile","Gross debt, General government, Percent of GDP","Annual","Units","21.101","23.652","25.798","28.330","32.380","36.448","37.907","39.415","41.650","42.737"
"IMF.RES:WEO(9.0.0)","CHL.NGDPDPC.A","OBS_VALUE","Chile","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","13722.878","15003.770","15755.003","14551.577","13056.638","16028.325","15193.738","16814.208","16439.479","17180.935"
"IMF.RES:WEO(9.0.0)","GTM.NID_NGDP.A","OBS_VALUE","Guatemala","Gross capital formation, Percent of GDP","Annual","Units","13.862","13.596","13.790","14.330","13.501","16.768","16.569","16.475","16.684","16.638"
"IMF.RES:WEO(9.0.0)","HTI.GGXWDG_NGDP.A","OBS_VALUE","Haiti","Gross debt, General government, Percent of GDP","Annual","Units","24.386","22.516","24.113","26.530","22.321","28.863","29.506","28.464","15.503","11.813"
"IMF.RES:WEO(9.0.0)","HTI.NID_NGDP.A","OBS_VALUE","Haiti","Gross capital formation, Percent of GDP","Annual","Units","16.935","20.212","18.710","20.322","17.703","18.048","15.862","13.854","9.939","5.485"
"IMF.RES:WEO(9.0.0)","HTI.NGDPDPC.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1263.434","1337.160","1441.864","1277.213","1235.476","1765.242","1643.221","1603.278","2040.600","2461.403"
"IMF.RES:WEO(9.0.0)","GTM.GGXWDG_NGDP.A","OBS_VALUE","Guatemala","Gross debt, General government, Percent of GDP","Annual","Units","24.906","25.070","26.405","26.414","31.491","30.585","28.983","27.208","26.322","26.975"
"IMF.RES:WEO(9.0.0)","DOM.GGXWDG_NGDP.A","OBS_VALUE","Dominican Republic","Gross debt, General government, Percent of GDP","Annual","Units","46.685","49.480","50.798","53.456","71.812","62.821","59.578","60.511","58.792","59.956"
"IMF.RES:WEO(9.0.0)","ECU.NGDPDPC.A","OBS_VALUE","Ecuador","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5907.928","6220.968","6293.459","6199.031","5469.758","6084.743","6555.526","6792.722","6939.335","7210.108"
"IMF.RES:WEO(9.0.0)","ECU.GGXWDG_NGDP.A","OBS_VALUE","Ecuador","Gross debt, General government, Percent of GDP","Annual","Units","46.066","47.391","49.505","52.064","63.551","61.756","57.203","54.332","53.754",""
"IMF.RES:WEO(9.0.0)","SLV.GGXWDG_NGDP.A","OBS_VALUE","El Salvador","Gross debt, General government, Percent of GDP","Annual","Units","75.214","77.136","76.961","77.906","95.365","87.955","83.657","85.088","87.514","87.622"
"IMF.RES:WEO(9.0.0)","SLV.NID_NGDP.A","OBS_VALUE","El Salvador","Gross capital formation, Percent of GDP","Annual","Units","15.968","16.677","18.372","18.345","17.212","23.355","24.472","20.685","20.344","22.131"
"IMF.RES:WEO(9.0.0)","SLV.NGDPDPC.A","OBS_VALUE","El Salvador","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3901.339","4020.148","4183.551","4320.128","3997.174","4642.594","5074.617","5365.465","5579.655","5743.686"
"IMF.RES:WEO(9.0.0)","DOM.NID_NGDP.A","OBS_VALUE","Dominican Republic","Gross capital formation, Percent of GDP","Annual","Units","22.173","21.181","25.202","25.235","24.880","30.275","30.671","27.815","26.998","27.088"
"IMF.RES:WEO(9.0.0)","DOM.NGDPDPC.A","OBS_VALUE","Dominican Republic","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","7506.192","7783.612","8286.301","8614.967","7524.961","9023.429","10714.918","11279.604","11541.579","11919.420"
"IMF.RES:WEO(9.0.0)","ECU.NID_NGDP.A","OBS_VALUE","Ecuador","Gross capital formation, Percent of GDP","Annual","Units","20.246","22.480","22.540","21.049","17.585","20.748","22.406","20.651","18.482","18.861"
"IMF.RES:WEO(9.0.0)","PAN.GGXWDG_NGDP.A","OBS_VALUE","Panama","Gross debt, General government, Percent of GDP","Annual","Units","33.606","33.561","35.581","39.830","61.522","54.412","52.732","51.230","57.381","59.598"
"IMF.RES:WEO(9.0.0)","MEX.GGXWDG_NGDP.A","OBS_VALUE","Mexico","Gross debt, General government, Percent of GDP","Annual","Units","55.003","52.521","52.202","51.869","58.456","56.695","53.803","52.638","58.311","58.855"
"IMF.RES:WEO(9.0.0)","HND.NID_NGDP.A","OBS_VALUE","Honduras","Gross capital formation, Percent of GDP","Annual","Units","23.377","24.821","26.572","22.968","19.666","24.231","26.326","22.186","22.492","22.427"
"IMF.RES:WEO(9.0.0)","HND.GGXWDG_NGDP.A","OBS_VALUE","Honduras","Gross debt, General government, Percent of GDP","Annual","Units","40.295","43.598","43.541","44.150","52.451","50.263","51.047","47.852","47.073","45.091"
"IMF.RES:WEO(9.0.0)","GTM.NGDPDPC.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4058.954","4323.226","4353.115","4511.059","4477.542","4911.934","5358.743","5757.518","6149.479","6478.185"
"IMF.RES:WEO(9.0.0)","HND.NGDPDPC.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2341.450","2452.082","2506.539","2546.765","2348.662","2782.143","3052.617","3279.720","3480.546","3636.621"
"IMF.RES:WEO(9.0.0)","PRY.NID_NGDP.A","OBS_VALUE","Paraguay","Gross capital formation, Percent of GDP","Annual","Units","19.806","20.600","22.782","21.685","20.041","23.998","27.686","20.158","22.836","24.119"
"IMF.RES:WEO(9.0.0)","VEN.NGDPDPC.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3676.384","3806.656","3529.720","2624.793","1532.618","2052.286","3306.912","3828.543","4510.446","3102.938"
"IMF.RES:WEO(9.0.0)","VEN.NID_NGDP.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross capital formation, Percent of GDP","Annual","Units","10.245","5.111","","","","","","","",""
"IMF.RES:WEO(9.0.0)","MEX.NGDPDPC.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","8999.570","9542.783","9970.967","10251.145","8744.029","10207.315","11287.534","13713.448","14034.200","13966.980"
"IMF.RES:WEO(9.0.0)","NIC.GGXWDG_NGDP.A","OBS_VALUE","Nicaragua","Gross debt, General government, Percent of GDP","Annual","Units","30.923","34.654","39.091","44.204","49.160","48.433","45.919","42.295","39.150","39.278"
"IMF.RES:WEO(9.0.0)","NIC.NGDPDPC.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2091.463","2147.856","2010.903","1940.178","1924.714","2123.815","2310.001","2601.650","2843.378","2952.674"
"IMF.RES:WEO(9.0.0)","PAN.NID_NGDP.A","OBS_VALUE","Panama","Gross capital formation, Percent of GDP","Annual","Units","40.249","41.544","41.199","38.067","23.955","31.299","35.855","37.493","33.534","33.702"
"IMF.RES:WEO(9.0.0)","NIC.NID_NGDP.A","OBS_VALUE","Nicaragua","Gross capital formation, Percent of GDP","Annual","Units","31.200","29.915","24.075","17.831","20.337","23.792","21.753","22.151","24.694","25.258"
"IMF.RES:WEO(9.0.0)","MEX.NID_NGDP.A","OBS_VALUE","Mexico","Gross capital formation, Percent of GDP","Annual","Units","24.343","23.892","23.477","22.149","20.237","21.707","22.770","23.895","24.124","23.401"
"IMF.RES:WEO(9.0.0)","PRY.GGXWDG_NGDP.A","OBS_VALUE","Paraguay","Gross debt, General government, Percent of GDP","Annual","Units","19.390","19.847","22.331","25.768","36.899","37.501","40.528","41.060","44.767","41.706"
"IMF.RES:WEO(9.0.0)","PAN.NGDPDPC.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","14871.432","15736.315","16186.562","16539.980","13336.403","15538.412","17399.794","18822.262","19186.922","19802.151"
"IMF.RES:WEO(9.0.0)","ABW.NGDPDPC.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","27469.594","28424.880","30082.711","30702.925","22515.229","26151.440","29915.564","34517.100","38413.836","39606.356"
"IMF.RES:WEO(9.0.0)","URY.NID_NGDP.A","OBS_VALUE","Uruguay","Gross capital formation, Percent of GDP","Annual","Units","17.389","15.924","14.853","14.121","16.234","18.197","18.655","17.535","15.597","15.588"
"IMF.RES:WEO(9.0.0)","PER.GGXWDG_NGDP.A","OBS_VALUE","Peru","Gross debt, General government, Percent of GDP","Annual","Units","23.932","24.799","25.689","26.501","34.289","35.544","33.477","32.431","32.151","32.126"
"IMF.RES:WEO(9.0.0)","URY.GGXWDG_NGDP.A","OBS_VALUE","Uruguay","Gross debt, General government, Percent of GDP","Annual","Units","56.401","55.821","57.889","59.628","68.219","64.079","59.934","64.002","68.689","66.611"
"IMF.RES:WEO(9.0.0)","PER.NGDPDPC.A","OBS_VALUE","Peru","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6539.146","7087.390","7281.666","7357.801","6436.087","6957.235","7431.910","8057.270","8649.541","9255.722"
"IMF.RES:WEO(9.0.0)","PRY.NGDPDPC.A","OBS_VALUE","Paraguay","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5817.053","6195.767","6301.804","5860.273","5402.468","6008.592","6243.548","6339.468","6455.587","6798.756"
"IMF.RES:WEO(9.0.0)","URY.NGDPDPC.A","OBS_VALUE","Uruguay","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","16516.639","18608.283","18656.026","17740.464","15256.943","17313.533","20162.782","22307.721","23186.390","24379.608"
"IMF.RES:WEO(9.0.0)","PER.NID_NGDP.A","OBS_VALUE","Peru","Gross capital formation, Percent of GDP","Annual","Units","22.757","21.324","21.759","21.337","19.612","21.938","21.911","19.222","19.516","19.006"
"IMF.RES:WEO(9.0.0)","VEN.GGXWDG_NGDP.A","OBS_VALUE","Venezuela, República Bolivariana de","Gross debt, General government, Percent of GDP","Annual","Units","138.404","133.610","175.313","205.990","336.545","254.242","164.423","138.497","164.324",""
"IMF.RES:WEO(9.0.0)","GRD.NID_NGDP.A","OBS_VALUE","Grenada","Gross capital formation, Percent of GDP","Annual","Units","20.057","20.940","24.285","24.919","32.419","30.121","29.937","32.931","32.515","32.260"
"IMF.RES:WEO(9.0.0)","BHS.GGXWDG_NGDP.A","OBS_VALUE","Bahamas, The","Gross debt, General government, Percent of GDP","Annual","Units","51.057","54.649","61.513","60.314","71.925","90.662","84.656","78.291","73.813","74.071"
"IMF.RES:WEO(9.0.0)","ATG.NGDPDPC.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","16163.761","16401.359","17470.660","17899.372","14419.909","16128.189","18522.672","19627.038","21325.684","22313.811"
"IMF.RES:WEO(9.0.0)","BHS.NGDPDPC.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","31811.467","32984.165","33618.059","34455.207","26612.553","30522.745","34801.709","37827.627","38791.831","39726.431"
"IMF.RES:WEO(9.0.0)","BHS.NID_NGDP.A","OBS_VALUE","Bahamas, The","Gross capital formation, Percent of GDP","Annual","Units","26.372","26.646","24.309","25.794","21.950","25.963","26.357","24.418","26.465","25.921"
"IMF.RES:WEO(9.0.0)","ATG.NID_NGDP.A","OBS_VALUE","Antigua and Barbuda","Gross capital formation, Percent of GDP","Annual","Units","14.022","25.932","38.250","36.453","38.001","46.194","40.979","38.839","33.452","35.754"
"IMF.RES:WEO(9.0.0)","ABW.GGXWDG_NGDP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross debt, General government, Percent of GDP","Annual","Units","75.387","75.825","73.310","72.086","117.028","110.656","97.752","82.463","70.163","67.129"
"IMF.RES:WEO(9.0.0)","ATG.GGXWDG_NGDP.A","OBS_VALUE","Antigua and Barbuda","Gross debt, General government, Percent of GDP","Annual","Units","83.061","88.176","84.333","81.588","100.465","92.951","82.028","76.329","67.580","65.675"
"IMF.RES:WEO(9.0.0)","VCT.GGXWDG_NGDP.A","OBS_VALUE","St. Vincent and the Grenadines","Gross debt, General government, Percent of GDP","Annual","Units","79.445","68.996","69.396","68.155","80.163","88.355","86.301","89.431","92.678","93.988"
"IMF.RES:WEO(9.0.0)","PRI.GGXWDG_NGDP.A","OBS_VALUE","Puerto Rico","Gross debt, General government, Percent of GDP","Annual","Units","49.877","51.205","52.447","48.830","50.220","48.874","16.687","16.596","16.870","17.960"
"IMF.RES:WEO(9.0.0)","GRD.GGXWDG_NGDP.A","OBS_VALUE","Grenada","Gross debt, General government, Percent of GDP","Annual","Units","81.568","70.326","68.536","62.700","89.493","86.600","79.274","74.549","72.700","67.723"
"IMF.RES:WEO(9.0.0)","DMA.NID_NGDP.A","OBS_VALUE","Dominica","Gross capital formation, Percent of GDP","Annual","Units","20.767","29.052","32.441","23.471","24.040","35.260","37.250","38.058","36.172","32.031"
"IMF.RES:WEO(9.0.0)","GUY.GGXWDG_NGDP.A","OBS_VALUE","Guyana","Gross debt, General government, Percent of GDP","Annual","Units","44.049","46.057","47.935","54.032","59.485","45.709","24.832","26.650","24.308","29.000"
"IMF.RES:WEO(9.0.0)","BRB.NID_NGDP.A","OBS_VALUE","Barbados","Gross capital formation, Percent of GDP","Annual","Units","14.854","14.104","12.913","13.332","16.432","16.769","16.750","15.990","17.046","16.537"
"IMF.RES:WEO(9.0.0)","GRD.NGDPDPC.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","9572.093","10098.821","10419.126","10779.062","9222.709","9863.609","10697.777","11619.383","12067.443","12543.953"
"IMF.RES:WEO(9.0.0)","JAM.NID_NGDP.A","OBS_VALUE","Jamaica","Gross capital formation, Percent of GDP","Annual","Units","21.130","22.342","23.132","24.032","19.487","18.205","23.988","24.550","20.751","20.030"
"IMF.RES:WEO(9.0.0)","BRB.GGXWDG_NGDP.A","OBS_VALUE","Barbados","Gross debt, General government, Percent of GDP","Annual","Units","135.269","142.847","114.212","107.646","138.170","121.594","113.683","111.477","104.805","99.778"
"IMF.RES:WEO(9.0.0)","DMA.NGDPDPC.A","OBS_VALUE","Dominica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","8089.250","7507.368","7981.044","8466.407","6872.220","7530.367","8193.119","8781.135","9325.422","9944.043"
"IMF.RES:WEO(9.0.0)","DMA.GGXWDG_NGDP.A","OBS_VALUE","Dominica","Gross debt, General government, Percent of GDP","Annual","Units","76.538","84.011","85.631","97.678","112.458","108.501","104.306","99.828","99.878","95.675"
"IMF.RES:WEO(9.0.0)","BRB.NGDPDPC.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","18704.689","19310.373","19654.520","20156.276","17951.935","18276.871","21624.512","23167.298","24648.429","25926.578"
"IMF.RES:WEO(9.0.0)","KNA.NID_NGDP.A","OBS_VALUE","St. Kitts and Nevis","Gross capital formation, Percent of GDP","Annual","Units","30.000","30.000","30.000","30.000","30.000","30.000","27.000","27.000","27.000","27.000"
"IMF.RES:WEO(9.0.0)","KNA.GGXWDG_NGDP.A","OBS_VALUE","St. Kitts and Nevis","Gross debt, General government, Percent of GDP","Annual","Units","57.406","56.177","53.905","54.256","67.975","69.104","60.295","55.723","53.824","61.896"
"IMF.RES:WEO(9.0.0)","KNA.NGDPDPC.A","OBS_VALUE","St. Kitts and Nevis","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","20535.837","21395.250","21626.029","22086.359","17488.444","16858.613","19099.550","20644.942","20988.655","22157.530"
"IMF.RES:WEO(9.0.0)","LCA.GGXWDG_NGDP.A","OBS_VALUE","St. Lucia","Gross debt, General government, Percent of GDP","Annual","Units","60.214","59.919","60.282","62.113","94.413","81.898","73.909","75.223","76.596","77.046"
"IMF.RES:WEO(9.0.0)","PRI.NID_NGDP.A","OBS_VALUE","Puerto Rico","Gross capital formation, Percent of GDP","Annual","Units","8.075","7.793","15.331","15.349","10.881","11.368","14.815","14.387","14.780","15.351"
"IMF.RES:WEO(9.0.0)","GUY.NID_NGDP.A","OBS_VALUE","Guyana","Gross capital formation, Percent of GDP","Annual","Units","11.407","13.090","12.895","13.400","9.045","8.439","9.836","14.697","13.660","15.509"
"IMF.RES:WEO(9.0.0)","GUY.NGDPDPC.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5796.819","6104.158","6120.536","6594.375","6952.701","10188.148","18591.944","21307.161","30962.252","31377.593"
"IMF.RES:WEO(9.0.0)","JAM.GGXWDG_NGDP.A","OBS_VALUE","Jamaica","Gross debt, General government, Percent of GDP","Annual","Units","106.906","95.102","88.256","87.720","101.271","86.275","70.167","66.545","62.430","59.228"
"IMF.RES:WEO(9.0.0)","PRI.NGDPDPC.A","OBS_VALUE","Puerto Rico","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","30585.550","31347.273","31549.375","32851.875","32643.179","33258.313","35576.156","36926.516","39612.165","39853.523"
"IMF.RES:WEO(9.0.0)","BLZ.NGDPDPC.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","6150.767","6102.103","6035.101","6166.947","5209.415","6081.048","7161.557","7551.652","7796.261","7896.841"
"IMF.RES:WEO(9.0.0)","JAM.NGDPDPC.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5486.103","5769.269","6139.400","6218.412","5508.814","5832.058","6819.746","7754.694","7964.675","8404.912"
"IMF.RES:WEO(9.0.0)","BLZ.GGXWDG_NGDP.A","OBS_VALUE","Belize","Gross debt, General government, Percent of GDP","Annual","Units","70.457","78.115","79.023","78.621","103.037","82.209","66.826","67.495","65.436","64.716"
"IMF.RES:WEO(9.0.0)","BLZ.NID_NGDP.A","OBS_VALUE","Belize","Gross capital formation, Percent of GDP","Annual","Units","22.792","18.727","16.126","17.607","26.201","24.210","22.424","17.045","18.298","18.769"
"IMF.RES:WEO(9.0.0)","LCA.NGDPDPC.A","OBS_VALUE","St. Lucia","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","10638.133","11333.120","11642.689","11794.236","8479.012","10470.677","13052.868","13367.086","14269.792","14647.443"
"IMF.RES:WEO(9.0.0)","VCT.NID_NGDP.A","OBS_VALUE","St. Vincent and the Grenadines","Gross capital formation, Percent of GDP","Annual","Units","24.692","24.094","23.644","25.596","28.312","33.045","36.560","38.430","39.707","32.074"
"IMF.RES:WEO(9.0.0)","VCT.NGDPDPC.A","OBS_VALUE","St. Vincent and the Grenadines","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","7389.410","7641.501","8001.555","8224.485","7802.906","8015.861","8752.136","9626.026","10459.264","11132.381"
"IMF.RES:WEO(9.0.0)","LCA.NID_NGDP.A","OBS_VALUE","St. Lucia","Gross capital formation, Percent of GDP","Annual","Units","20.459","21.559","21.749","21.676","24.127","22.623","20.861","22.924","23.125","23.047"
"IMF.RES:WEO(9.0.0)","BHR.GGXWDG_NGDP.A","OBS_VALUE","Bahrain, Kingdom of","Gross debt, General government, Percent of GDP","Annual","Units","77.366","84.029","90.384","97.129","125.700","122.300","111.648","123.020","133.379","142.486"
"IMF.RES:WEO(9.0.0)","TTO.GGXWDG_NGDP.A","OBS_VALUE","Trinidad and Tobago","Gross debt, General government, Percent of GDP","Annual","Units","34.699","40.093","41.486","46.013","60.595","60.514","53.215","60.196","64.582","65.340"
"IMF.RES:WEO(9.0.0)","SUR.NID_NGDP.A","OBS_VALUE","Suriname","Gross capital formation, Percent of GDP","Annual","Units","32.586","30.921","36.832","40.385","28.500","27.938","28.607","29.478","29.688","29.751"
"IMF.RES:WEO(9.0.0)","G400.GGXWDG_NGDP.A","OBS_VALUE","Middle East and Central Asia","Gross debt, General government, Percent of GDP","Annual","Units","41.930","42.759","41.747","44.930","54.469","50.209","43.402","43.822","44.129","45.567"
"IMF.RES:WEO(9.0.0)","G400.NID_NGDP.A","OBS_VALUE","Middle East and Central Asia","Gross capital formation, Percent of GDP","Annual","Units","27.320","27.150","25.802","26.630","25.609","25.796","26.064","27.581","27.110","27.312"
"IMF.RES:WEO(9.0.0)","SUR.GGXWDG_NGDP.A","OBS_VALUE","Suriname","Gross debt, General government, Percent of GDP","Annual","Units","75.395","73.029","68.627","84.027","146.436","115.824","116.944","98.234","87.290","89.079"
"IMF.RES:WEO(9.0.0)","SUR.NGDPDPC.A","OBS_VALUE","Suriname","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5762.414","6158.572","6772.070","6715.747","4782.092","4987.986","5784.332","5404.997","6880.559","6843.471"
"IMF.RES:WEO(9.0.0)","TTO.NGDPDPC.A","OBS_VALUE","Trinidad and Tobago","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","17149.360","17218.004","17184.022","16830.300","14925.795","17218.066","20041.800","17616.478","17948.642","18120.734"
"IMF.RES:WEO(9.0.0)","ISR.NID_NGDP.A","OBS_VALUE","Israel","Gross capital formation, Percent of GDP","Annual","Units","23.137","23.250","24.192","23.885","24.981","26.147","27.648","26.401","23.800","25.444"
"IMF.RES:WEO(9.0.0)","ISR.NGDPDPC.A","OBS_VALUE","Israel","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","37582.521","41030.159","42285.344","44106.474","44594.510","52280.982","54983.858","52146.476","54294.192","60008.972"
"IMF.RES:WEO(9.0.0)","IRN.NID_NGDP.A","OBS_VALUE","Iran, Islamic Republic of","Gross capital formation, Percent of GDP","Annual","Units","34.990","37.306","35.475","41.812","49.895","43.052","42.817","45.505","46.406","45.854"
"IMF.RES:WEO(9.0.0)","BHR.NID_NGDP.A","OBS_VALUE","Bahrain, Kingdom of","Gross capital formation, Percent of GDP","Annual","Units","33.011","36.466","38.154","35.624","37.294","28.093","24.590","29.165","28.420","29.031"
"IMF.RES:WEO(9.0.0)","CYP.GGXWDG_NGDP.A","OBS_VALUE","Cyprus","Gross debt, General government, Percent of GDP","Annual","Units","106.809","96.375","100.658","92.293","113.602","96.481","81.060","73.631","65.087","57.708"
"IMF.RES:WEO(9.0.0)","IRQ.GGXWDG_NGDP.A","OBS_VALUE","Iraq","Gross debt, General government, Percent of GDP","Annual","Units","60.301","55.874","44.363","41.712","72.455","54.715","38.974","42.078","46.459","53.106"
"IMF.RES:WEO(9.0.0)","CYP.NGDPDPC.A","OBS_VALUE","Cyprus","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","24359.103","26369.719","29325.824","29431.591","28295.900","33920.056","34221.169","36605.306","38802.204","42412.816"
"IMF.RES:WEO(9.0.0)","IRQ.NGDPDPC.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4656.709","5117.127","6037.885","6048.921","4547.330","5116.534","6818.152","6250.549","6276.526","5831.552"
"IMF.RES:WEO(9.0.0)","IRN.GGXWDG_NGDP.A","OBS_VALUE","Iran, Islamic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","45.945","43.184","41.586","44.619","47.099","39.914","34.453","29.643","33.990","35.584"
"IMF.RES:WEO(9.0.0)","BHR.NGDPDPC.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","23800.001","24784.752","26324.407","27259.726","24342.844","27147.808","30470.504","29290.112","29653.568","29252.835"
"IMF.RES:WEO(9.0.0)","CYP.NID_NGDP.A","OBS_VALUE","Cyprus","Gross capital formation, Percent of GDP","Annual","Units","16.979","20.456","18.879","19.428","20.548","19.530","20.117","20.511","18.789","19.770"
"IMF.RES:WEO(9.0.0)","IRN.NGDPDPC.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","5975.217","6263.722","4187.328","3035.117","2493.037","3656.385","4749.522","4915.374","4810.048","4074.444"
"IMF.RES:WEO(9.0.0)","JOR.NID_NGDP.A","OBS_VALUE","Jordan","Gross capital formation, Percent of GDP","Annual","Units","23.407","19.822","19.752","18.757","18.710","19.676","18.705","18.705","20.462","21.879"
"IMF.RES:WEO(9.0.0)","KWT.GGXWDG_NGDP.A","OBS_VALUE","Kuwait","Gross debt, General government, Percent of GDP","Annual","Units","9.884","19.619","14.262","10.517","10.230","7.197","2.951","3.134","2.923","7.286"
"IMF.RES:WEO(9.0.0)","JOR.NGDPDPC.A","OBS_VALUE","Jordan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4009.059","4078.869","4152.263","4165.546","4004.321","4158.625","4326.991","4512.693","4692.842","4907.883"
"IMF.RES:WEO(9.0.0)","KWT.NGDPDPC.A","OBS_VALUE","Kuwait","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","26795.706","28552.150","31369.182","31549.877","25610.725","33824.862","38288.598","33663.122","31971.468","30805.156"
"IMF.RES:WEO(9.0.0)","KWT.NID_NGDP.A","OBS_VALUE","Kuwait","Gross capital formation, Percent of GDP","Annual","Units","29.959","27.731","25.547","23.002","18.651","14.468","16.549","17.722","21.167","24.008"
"IMF.RES:WEO(9.0.0)","ISR.GGXWDG_NGDP.A","OBS_VALUE","Israel","Gross debt, General government, Percent of GDP","Annual","Units","61.729","59.825","60.076","59.303","71.072","67.686","60.320","61.329","67.640","69.242"
"IMF.RES:WEO(9.0.0)","JOR.GGXWDG_NGDP.A","OBS_VALUE","Jordan","Gross debt, General government, Percent of GDP","Annual","Units","85.015","86.100","87.359","92.922","104.468","87.617","88.577","89.018","90.228","89.703"
"IMF.RES:WEO(9.0.0)","EGY.NGDPDPC.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","3862.011","2592.707","2710.158","3214.301","3802.438","4145.939","4587.172","3743.608","3570.279","3191.080"
"IMF.RES:WEO(9.0.0)","ARE.NID_NGDP.A","OBS_VALUE","United Arab Emirates","Gross capital formation, Percent of GDP","Annual","Units","24.194","23.789","24.228","26.858","24.979","27.102","27.754","28.264","23.163","24.029"
"IMF.RES:WEO(9.0.0)","OMN.NID_NGDP.A","OBS_VALUE","Oman","Gross capital formation, Percent of GDP","Annual","Units","36.076","33.984","31.922","26.907","27.400","27.858","27.321","26.734","26.000","26.500"
"IMF.RES:WEO(9.0.0)","QAT.NGDPDPC.A","OBS_VALUE","Qatar","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","57965.377","59127.513","66421.617","63007.696","50962.499","65400.854","80385.391","69540.540","70994.325","71441.418"
"IMF.RES:WEO(9.0.0)","QAT.GGXWDG_NGDP.A","OBS_VALUE","Qatar","Gross debt, General government, Percent of GDP","Annual","Units","46.707","51.569","52.177","62.087","72.614","58.396","42.565","43.672","41.178","40.616"
"IMF.RES:WEO(9.0.0)","OMN.NGDPDPC.A","OBS_VALUE","Oman","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","17020.387","17731.849","19885.271","19069.329","17076.319","19458.594","22265.142","20498.607","20059.326","19118.876"
